chazhi,watersupply,population,waterload,time,area
-130.6,219.9,9417,328.7,2008/1/1,山东省
-105.2,227.5,9429,371.3,2008/1/1,河南省
-560.1,270.7,5711,1033.9,2008/1/1,湖北省
-1005.9,323.6,6380,1600,2008/1/1,湖南省
-1474.2,461.5,9893,2206.8,2008/1/1,广东省
-1543.2,310.1,4816,2282.5,2008/1/1,广西壮族自治区
-373,46.9,854,419.1,2008/1/1,海南省
-447,82.8,2839,576.9,2008/1/1,重庆市
-2693.5,207.6,8138,2489.9,2008/1/1,四川省
-871.9,101.9,3596,1140.7,2008/1/1,贵州省
-2050.8,153.1,4543,2314.5,2008/1/1,云南省
-4626.5,37.5,292,4560.2,2008/1/1,西藏自治区
-277.7,85.5,3718,304,2008/1/1,陕西省
-221,122.2,2551,187.5,2008/1/1,甘肃省
-935.8,34.4,554,658.1,2008/1/1,青海省
51.5,74.2,618,9.2,2008/1/1,宁夏回族自治区
-310,528.2,2131,815.6,2008/1/1,新疆维吾尔自治区
17.1,34.8,1676,23.8,2007/1/1,北京市
20.3,23.4,1115,11.3,2007/1/1,天津市
68.8,202.5,6943,119.8,2007/1/1,河北省
-21.3,58.7,3393,103.4,2007/1/1,山西省
-257,180,2429,295.9,2007/1/1,内蒙古自治区
-125.7,142.9,4298,261.7,2007/1/1,辽宁省
-390.7,100.8,2730,346,2007/1/1,吉林省
-1201,291.4,3824,491.8,2007/1/1,黑龙江省
52.6,120.2,2064,34.5,2007/1/1,上海市
387.4,558.3,7723,495.7,2007/1/1,江苏省
-1155.7,211,5155,892.1,2007/1/1,浙江省
-262.2,232.1,6118,712.5,2007/1/1,安徽省
-1186.4,196.3,3612,1072.9,2007/1/1,福建省
-1798.3,234.9,4368,1113,2007/1/1,江西省
30.1,219.5,9367,387.1,2007/1/1,山东省
69.2,209.3,9360,465.2,2007/1/1,河南省
-310.5,258.7,5699,1015.1,2007/1/1,湖北省
-1765.3,324.3,6355,1426.5,2007/1/1,湖南省
-1655.9,462.5,9660,1581.2,2007/1/1,广东省
-1821.7,310.4,4768,1386.3,2007/1/1,广西壮族自治区
-205.9,46.7,845,283.5,2007/1/1,海南省
-421.6,77.4,2816,663,2007/1/1,重庆市
-2496.5,214,8127,2299.8,2007/1/1,四川省
-1008.9,98,3632,1054.6,2007/1/1,贵州省
-1378.9,150,4514,2255.5,2007/1/1,云南省
-4464.9,36.7,289,4321.4,2007/1/1,西藏自治区
-402.7,81.5,3708,377,2007/1/1,陕西省
-215.9,122.5,2548,228.7,2007/1/1,甘肃省
-893.1,31.1,552,661.6,2007/1/1,青海省
57.3,71,610,10.4,2007/1/1,宁夏回族自治区
